MsgID.STATE,1521839760.0748959,False,False
MsgID.LOCAL_VELOCITY,1521839772.8873868,0.0058604,-0.0164383,-0.0405179
MsgID.STATE,1521839772.8875639,True,True
MsgID.GLOBAL_HOME,1521839772.8880429,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8883410,-122.3974503,37.7924796,-0.0900000
MsgID.LOCAL_VELOCITY,1521839772.8883410,0.0000000,-0.0300000,0.0300000
MsgID.LOCAL_POSITION,1521839772.8884900,-0.0858610,0.2616122,0.0909811
MsgID.LOCAL_VELOCITY,1521839772.8884900,0.0009944,-0.0346627,0.0389757
MsgID.GLOBAL_POSITION,1521839772.8886311,-122.3974510,37.7924788,-0.0790000
MsgID.LOCAL_VELOCITY,1521839772.8886311,0.0000000,-0.0300000,0.0100000
MsgID.LOCAL_POSITION,1521839772.8887522,-0.1839827,0.1964489,0.0790415
MsgID.LOCAL_VELOCITY,1521839772.8887522,0.0018058,-0.0396627,0.0195168
MsgID.GLOBAL_POSITION,1521839772.8888791,-122.3974522,37.7924798,-0.0670000
MsgID.LOCAL_VELOCITY,1521839772.8888791,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8889961,-0.0635111,0.0983845,0.0679383
MsgID.LOCAL_VELOCITY,1521839772.8889961,0.0000038,0.0000377,0.0000001
MsgID.GLOBAL_POSITION,1521839772.8891211,-122.3974503,37.7924813,-0.0330000
MsgID.LOCAL_VELOCITY,1521839772.8891211,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8892400,0.0987831,0.2590765,0.0338638
MsgID.LOCAL_VELOCITY,1521839772.8892400,0.0000116,0.0000088,0.0000041
MsgID.STATE,1521839772.8894341,True,True
MsgID.GLOBAL_HOME,1521839772.8895738,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8896780,-122.3974498,37.7924803,0.0090000
MsgID.LOCAL_VELOCITY,1521839772.8896780,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8897960,-0.0115088,0.3059506,-0.0095207
MsgID.LOCAL_VELOCITY,1521839772.8897960,0.0000070,-0.0000132,0.0000125
MsgID.GLOBAL_POSITION,1521839772.8899231,-122.3974494,37.7924799,0.0610000
MsgID.LOCAL_VELOCITY,1521839772.8899231,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8900421,-0.0599146,0.3429251,-0.0616580
MsgID.LOCAL_VELOCITY,1521839772.8900421,0.0000138,-0.0000015,0.0000176
MsgID.GLOBAL_POSITION,1521839772.8901660,-122.3974485,37.7924804,0.1130000
MsgID.LOCAL_VELOCITY,1521839772.8901660,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8902819,-0.0029665,0.4244347,-0.1133716
MsgID.LOCAL_VELOCITY,1521839772.8902819,-0.0000312,-0.0000139,0.0000167
MsgID.GLOBAL_POSITION,1521839772.8904080,-122.3974503,37.7924800,0.1600000
MsgID.LOCAL_VELOCITY,1521839772.8904080,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8905261,-0.0459371,0.2602389,-0.1607350
MsgID.LOCAL_VELOCITY,1521839772.8905261,-0.0000115,-0.0000096,0.0000162
MsgID.STATE,1521839772.8907540,True,True
MsgID.GLOBAL_HOME,1521839772.8909559,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8910851,-122.3974519,37.7924797,0.1940000
MsgID.LOCAL_VELOCITY,1521839772.8910851,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8912179,-0.0835932,0.1180863,-0.1945881
MsgID.LOCAL_VELOCITY,1521839772.8912179,0.0000136,-0.0000199,0.0000160
MsgID.GLOBAL_POSITION,1521839772.8913560,-122.3974510,37.7924788,0.2110000
MsgID.LOCAL_VELOCITY,1521839772.8913560,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8914759,-0.1769916,0.1998812,-0.2113354
MsgID.LOCAL_VELOCITY,1521839772.8914759,0.0000201,-0.0000014,0.0000213
MsgID.GLOBAL_POSITION,1521839772.8916030,-122.3974490,37.7924806,0.2080000
MsgID.LOCAL_VELOCITY,1521839772.8916030,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8917220,0.0195440,0.3802110,-0.2085238
MsgID.LOCAL_VELOCITY,1521839772.8917220,0.0000304,-0.0000396,0.0000178
MsgID.GLOBAL_POSITION,1521839772.9908040,-122.3974503,37.7924814,0.2330000
MsgID.LOCAL_VELOCITY,1521839772.9908040,0.0000000,0.0000000,-0.9100000
MsgID.LOCAL_POSITION,1521839772.9911330,0.1108687,0.2641868,-0.2334249
MsgID.LOCAL_VELOCITY,1521839772.9911330,-0.0000578,0.0011686,-0.9101471
MsgID.STATE,1521839773.2244439,True,True
MsgID.GLOBAL_HOME,1521839773.2247171,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839773.2395442,-122.3974505,37.7924814,0.6790000
MsgID.LOCAL_VELOCITY,1521839773.2395442,0.0000000,0.0100000,-2.9100000
MsgID.LOCAL_POSITION,1521839773.2398112,0.1037628,0.2475259,-0.6792307
MsgID.LOCAL_VELOCITY,1521839773.2398112,-0.0043556,0.0105687,-2.9145758
MsgID.GLOBAL_POSITION,1521839773.4898810,-122.3974501,37.7924802,1.5020000
MsgID.LOCAL_VELOCITY,1521839773.4898810,0.0000000,0.0100000,-3.6900000
MsgID.LOCAL_POSITION,1521839773.4901090,-0.0271929,0.2814444,-1.5028733
MsgID.LOCAL_VELOCITY,1521839773.4901090,-0.0053322,0.0138747,-3.6934893
MsgID.GLOBAL_POSITION,1521839773.7399080,-122.3974493,37.7924804,2.3910000
MsgID.LOCAL_VELOCITY,1521839773.7399080,0.0100000,0.0100000,-3.8900000
MsgID.LOCAL_POSITION,1521839773.7401791,-0.0070390,0.3511071,-2.3912106
MsgID.LOCAL_VELOCITY,1521839773.7401791,0.0124360,0.0122679,-3.8914142
MsgID.GLOBAL_POSITION,1521839773.9905810,-122.3974488,37.7924804,3.3360000
MsgID.LOCAL_VELOCITY,1521839773.9905810,0.0100000,0.0000000,-3.8800000
MsgID.LOCAL_POSITION,1521839773.9908490,0.0019172,0.3941176,-3.3365674
MsgID.LOCAL_VELOCITY,1521839773.9908490,0.0191257,0.0035973,-3.8823693
MsgID.STATE,1521839774.2227199,True,True
MsgID.GLOBAL_HOME,1521839774.2229500,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839774.2417290,-122.3974493,37.7924791,4.2610000
MsgID.LOCAL_VELOCITY,1521839774.2417290,0.0100000,0.0000000,-3.9800000
MsgID.LOCAL_POSITION,1521839774.2419939,-0.1442257,0.3473963,-4.2611122
MsgID.LOCAL_VELOCITY,1521839774.2419939,0.0131023,-0.0054117,-3.9807248
MsgID.GLOBAL_POSITION,1521839774.4920681,-122.3974513,37.7924784,5.1380000
MsgID.LOCAL_VELOCITY,1521839774.4920681,0.0100000,0.0000000,-2.4400000
MsgID.LOCAL_POSITION,1521839774.4922922,-0.2201876,0.1703042,-5.1385221
MsgID.LOCAL_VELOCITY,1521839774.4922922,0.0157970,-0.0071049,-2.4407074
